Fecha y hora,pH,Temperatura (°C),Conductividad (µS/cm),Oxígeno disuelto (mg/L),Turbidez (NTU)
2025-10-29 12:51:13,5.41,25.4,80.0,0.12,0.5
2025-10-29 12:51:14,5.41,25.4,50.0,0.12,0.5
2025-10-29 12:51:15,5.4,25.4,50.0,0.16,0.5
2025-10-29 12:51:16,5.43,25.4,80.0,0.16,0.5
2025-10-29 12:51:17,5.41,25.4,50.0,0.08,0.5
2025-10-29 12:51:18,5.42,25.4,50.0,0.12,0.5
2025-10-29 12:51:19,5.42,25.4,50.0,0.16,0.5
2025-10-29 12:51:20,5.42,25.4,80.0,0.16,0.5
2025-10-29 12:51:21,5.42,25.4,80.0,0.12,0.5
2025-10-29 12:51:22,5.43,25.4,110.0,0.08,0.5
2025-10-29 12:51:23,5.42,25.4,50.0,0.16,0.5
2025-10-29 12:51:24,5.43,25.4,50.0,0.08,0.5
2025-10-29 12:51:25,5.43,25.4,140.0,0.12,0.5
2025-10-29 12:51:26,5.41,25.4,80.0,0.16,0.5
2025-10-29 12:51:27,5.42,25.4,50.0,0.16,0.5
2025-10-29 12:51:28,5.4,25.4,110.0,0.16,0.5
2025-10-29 12:51:29,5.41,25.4,110.0,0.12,0.5
2025-10-29 12:51:30,5.41,25.4,110.0,0.12,0.5
2025-10-29 12:51:31,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:51:32,5.41,25.4,80.0,0.12,0.5
2025-10-29 12:51:33,5.42,25.4,110.0,0.12,0.5
2025-10-29 12:51:34,5.42,25.4,80.0,0.16,0.5
2025-10-29 12:51:35,5.42,25.4,50.0,0.12,0.5
2025-10-29 12:51:36,5.42,25.4,80.0,0.16,0.5
2025-10-29 12:51:37,5.43,25.4,80.0,0.08,0.5
2025-10-29 12:51:38,5.41,25.4,50.0,0.12,0.5
2025-10-29 12:51:39,5.42,25.4,110.0,0.08,0.5
2025-10-29 12:51:40,5.43,25.4,50.0,0.12,0.5
2025-10-29 12:51:41,5.43,25.4,80.0,0.16,0.5
2025-10-29 12:51:42,5.41,25.4,140.0,0.2,0.5
2025-10-29 12:51:43,5.43,25.4,110.0,0.12,0.5
2025-10-29 12:51:44,5.42,25.4,80.0,0.12,0.5
2025-10-29 12:51:45,5.41,25.4,80.0,0.12,0.5
2025-10-29 12:51:46,5.42,25.4,80.0,0.12,0.5
2025-10-29 12:51:47,5.42,25.4,110.0,0.16,0.5
2025-10-29 12:51:48,5.42,25.4,110.0,0.16,0.5
2025-10-29 12:51:49,5.42,25.4,110.0,0.12,0.5
2025-10-29 12:51:50,5.42,25.3,110.0,0.08,0.5
2025-10-29 12:51:51,5.42,25.4,50.0,0.12,0.5
2025-10-29 12:51:52,5.42,25.3,50.0,0.16,0.5
2025-10-29 12:51:53,5.43,25.4,110.0,0.12,0.5
2025-10-29 12:51:54,5.42,25.4,80.0,0.08,0.5
2025-10-29 12:51:55,5.41,25.4,80.0,0.16,0.5
2025-10-29 12:51:56,5.41,25.4,110.0,0.12,0.5
2025-10-29 12:51:57,5.42,25.4,80.0,0.08,0.5
2025-10-29 12:51:58,5.41,25.4,50.0,0.12,0.5
2025-10-29 12:51:59,5.42,25.4,80.0,0.16,0.5
2025-10-29 12:52:00,5.42,25.4,80.0,0.12,0.5
2025-10-29 12:52:01,5.41,25.4,50.0,0.08,0.5
2025-10-29 12:52:02,5.42,25.4,80.0,0.16,0.5
2025-10-29 12:52:03,5.41,25.4,50.0,0.08,0.5
2025-10-29 12:52:04,5.43,25.4,80.0,0.16,0.5
2025-10-29 12:52:05,5.41,25.4,110.0,0.12,0.5
2025-10-29 12:52:06,5.41,25.4,50.0,0.12,0.5
2025-10-29 12:52:07,5.42,25.4,140.0,0.12,0.5
2025-10-29 12:52:08,5.43,25.4,50.0,0.08,0.5
2025-10-29 12:52:09,5.43,25.3,110.0,0.16,0.5
2025-10-29 12:52:10,5.42,25.3,80.0,0.12,0.5
2025-10-29 12:52:11,5.4,25.3,110.0,0.16,0.5
2025-10-29 12:52:12,5.42,25.4,50.0,0.16,0.5
2025-10-29 12:52:13,5.42,25.4,80.0,0.12,0.5
2025-10-29 12:52:14,5.42,25.3,110.0,0.12,0.5
2025-10-29 12:52:15,5.41,25.3,80.0,0.12,0.5
2025-10-29 12:52:16,5.42,25.3,110.0,0.16,0.5
2025-10-29 12:52:17,5.42,25.4,50.0,0.12,0.5
2025-10-29 12:52:18,5.43,25.4,80.0,0.16,0.5
2025-10-29 12:52:19,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:52:20,5.43,25.4,110.0,0.12,0.5
2025-10-29 12:52:21,5.41,25.4,110.0,0.12,0.5
2025-10-29 12:52:22,5.42,25.4,80.0,0.08,0.5
2025-10-29 12:52:23,5.42,25.4,50.0,0.16,0.5
2025-10-29 12:52:24,5.42,25.4,80.0,0.12,0.5
2025-10-29 12:52:25,5.42,25.4,80.0,0.12,0.5
2025-10-29 12:52:26,5.42,25.4,80.0,0.12,0.5
2025-10-29 12:52:27,5.42,25.4,80.0,0.16,0.5
2025-10-29 12:52:28,5.44,25.4,50.0,0.12,0.5
2025-10-29 12:52:29,5.44,25.4,50.0,0.16,0.5
2025-10-29 12:52:30,5.43,25.4,140.0,0.12,0.5
2025-10-29 12:52:31,5.43,25.4,110.0,0.12,0.5
2025-10-29 12:52:32,5.44,25.4,50.0,0.16,0.5
2025-10-29 12:52:33,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:52:34,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:52:35,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:52:36,5.43,25.4,80.0,0.16,0.5
2025-10-29 12:52:37,5.43,25.3,110.0,0.12,0.5
2025-10-29 12:52:38,5.43,25.3,50.0,0.16,0.5
2025-10-29 12:52:39,5.44,25.3,80.0,0.12,0.5
2025-10-29 12:52:40,5.44,25.3,140.0,0.12,0.5
2025-10-29 12:52:41,5.43,25.4,110.0,0.12,0.5
2025-10-29 12:52:42,5.45,25.4,80.0,0.12,0.5
2025-10-29 12:52:43,5.43,25.3,110.0,0.12,0.5
2025-10-29 12:52:44,5.43,25.3,80.0,0.12,0.5
2025-10-29 12:52:45,5.43,25.3,80.0,0.16,0.5
2025-10-29 12:52:46,5.44,25.4,110.0,0.08,0.5
2025-10-29 12:52:47,5.45,25.4,110.0,0.16,0.5
2025-10-29 12:52:48,5.44,25.4,50.0,0.16,0.5
2025-10-29 12:52:49,5.45,25.4,80.0,0.12,0.5
2025-10-29 12:52:50,5.43,25.3,80.0,0.08,0.5
2025-10-29 12:52:51,5.44,25.3,80.0,0.2,0.5
2025-10-29 12:52:52,5.44,25.4,110.0,0.08,0.5
2025-10-29 12:52:53,5.43,25.3,50.0,0.12,0.5
2025-10-29 12:52:54,5.45,25.4,80.0,0.08,0.5
2025-10-29 12:52:55,5.44,25.4,50.0,0.12,0.5
2025-10-29 12:52:56,5.41,25.3,50.0,0.16,0.5
2025-10-29 12:52:57,5.44,25.4,80.0,0.12,0.5
2025-10-29 12:52:58,5.45,25.4,50.0,0.16,0.5
2025-10-29 12:52:59,5.44,25.4,50.0,0.16,0.5
2025-10-29 12:53:00,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:53:01,5.44,25.3,110.0,0.12,0.5
2025-10-29 12:53:02,5.45,25.3,80.0,0.12,0.5
2025-10-29 12:53:03,5.44,25.3,80.0,0.16,0.5
2025-10-29 12:53:04,5.44,25.3,80.0,0.08,0.5
2025-10-29 12:53:05,5.44,25.3,80.0,0.08,0.5
2025-10-29 12:53:06,5.45,25.3,50.0,0.16,0.5
2025-10-29 12:53:07,5.46,25.4,80.0,0.12,0.5
2025-10-29 12:53:08,5.44,25.3,140.0,0.12,0.5
2025-10-29 12:53:09,5.45,25.4,80.0,0.12,0.5
2025-10-29 12:53:10,5.44,25.3,50.0,0.08,0.5
2025-10-29 12:53:11,5.44,25.3,110.0,0.16,0.5
2025-10-29 12:53:12,5.45,25.4,80.0,0.08,0.5
2025-10-29 12:53:13,5.46,25.3,80.0,0.12,0.5
2025-10-29 12:53:14,5.47,25.3,80.0,0.16,0.5
2025-10-29 12:53:15,5.45,25.3,80.0,0.12,0.5
2025-10-29 12:53:16,5.45,25.3,80.0,0.12,0.5
2025-10-29 12:53:17,5.46,25.3,80.0,0.12,0.5
2025-10-29 12:53:18,5.45,25.3,110.0,0.12,0.5
2025-10-29 12:53:19,5.43,25.3,80.0,0.12,0.5
2025-10-29 12:53:20,5.46,25.3,50.0,0.16,0.5
2025-10-29 12:53:21,5.46,25.3,80.0,0.12,0.5
2025-10-29 12:53:22,5.44,25.3,80.0,0.12,0.5
2025-10-29 12:53:23,5.46,25.4,80.0,0.12,0.5
