Fecha;Sitio;Profundidad;pH;Clorofila (µg/L);Ficocianina (µg/L);Turbidez (NTU);Oxígeno disuelto (mg/L);Temperatura (°C);Conductividad (µS/cm)
11/02/2020;Centro-Weiss G;22;8.238131616;2.959859879;0.158065849;0.680418796;7.912618838;21.47678531;450.8311989
11/02/2020;Centro-Weiss G;23;8.195594571;3.312217799;0.159931616;0.693207849;7.830541919;21.41256948;450.4303074
11/02/2020;Centro-Weiss G;24;8.154911473;3.831032325;0.15533085;0.685060565;7.558058152;21.34934422;449.878689
11/02/2020;Centro-Weiss G;25;8.119543249;4.193168128;0.160781838;0.664618784;7.372929002;21.3008173;449.4426643
11/02/2020;Centro-Weiss G;26;8.091873667;5.266110158;0.13618058;0.627405957;7.164286905;21.15003477;448.0145466
11/02/2020;Centro-Weiss G;27;8.064680331;6.082625437;0.114757525;0.595552707;7.016557626;21.0049504;446.7010238
11/02/2020;Centro-Weiss G;28;8.037244805;5.766925435;0.113995902;0.576715945;6.943929611;20.96466914;446.5165874
11/02/2020;Centro-Weiss G;29;8.011260428;5.189597596;0.105711532;0.568734706;6.832145156;20.90737252;446.4107766
11/02/2020;Centro-Weiss G;30;7.985166019;4.788110851;0.088367546;0.560667769;6.766349025;20.89814602;446.3924279
11/02/2020;Centro-Weiss G;31;7.959540494;4.457847506;0.083730066;0.531620036;6.669748124;20.9;446.3306482
11/02/2020;Centro-Weiss G;32;7.939138345;4.21322323;0.090224478;0.511387159;6.588038219;20.9;446.2502829
11/02/2020;Centro-Weiss G;33;7.922941919;3.966837003;0.090458771;0.504130893;6.541407763;20.9;446.2041142
11/02/2020;Centro-Weiss G;34;7.908470648;3.501595035;0.064647085;0.469012964;6.428359617;20.9;446.1584623
11/02/2020;Centro-Weiss G;35;7.896426242;2.927695509;0.048767243;0.41320995;6.275494658;20.9;446.159068
11/02/2020;Centro-Weiss G;36;7.885556329;2.594190258;0.049963452;0.401003301;6.199351399;20.9;446.1865905
11/02/2020;Centro-Weiss G;37;7.876486837;2.556293591;0.054571369;0.412297701;6.160219288;20.9;446.1256245
11/02/2020;Centro-Weiss G;38;7.868632345;2.398780158;0.057556533;0.41100369;6.136348428;20.9;446.0531733
11/02/2020;Centro-Weiss G;39;7.859395029;2.180308948;0.058927699;0.398421118;6.109278485;20.9;445.9295202
11/02/2020;Centro-Weiss G;40;7.850224026;2.271380604;0.050632048;0.400918901;6.095788768;20.9;445.8956191
11/02/2020;Centro-Weiss G;41;7.840559198;2.323916331;0.005468831;0.420097604;6.083526645;20.90180066;445.9013133
11/02/2020;Centro-Weiss G;42;7.830304763;2.260602579;0.00926655;0.436688014;6.073979165;20.89460218;445.8969075
11/02/2020;Centro-Weiss G;43;7.819921524;2.17039716;0.046433778;0.436716546;6.068452864;20.83346748;445.8323419
11/02/2020;Centro-Weiss G;44;7.808235896;2.02062113;0.054284049;0.43020547;6.062916811;20.79590482;445.7962601
11/02/2020;Centro-Weiss G;45;7.796995954;1.866543291;0.045215529;0.426351471;6.055637765;20.79991;445.8021242
11/02/2020;Centro-Weiss G;46;7.786412448;1.751200834;0.029844813;0.417248964;6.050858061;20.8;445.7917939
11/02/2020;Centro-Weiss G;47;7.77623749;1.53466451;0.025751618;0.398964083;6.039039019;20.8;445.7154024
11/02/2020;Centro-Weiss G;48;7.772371536;1.311987959;0.029628203;0.387092575;6.025003606;20.8;445.6300042
11/02/2020;Centro-Weiss G;49;7.773876084;1.20135826;0.048676743;0.374787568;6.019868228;20.8;445.5848554
11/02/2020;Centro-Weiss G;50;7.776420796;1.115507895;0.059067663;0.361615033;6.012377656;20.8;445.525053
11/02/2020;Centro-Weiss G;51;7.78464244;1.075441749;0.04444706;0.363645456;6.009556156;20.8;445.4955616
