Fecha;Hora;Sitio;pH;Temperatura (°C);Conductividad (uS/cm);O2 (mg/L);Turbidez (NTU);Clorofila (ug/L)
5/02/2024;09:25;Lago de Amatitlán/Este Centro;8.52;23.07;609.8;6.83;9;18.87
5/02/2024;10:30;Lago de Amatitlán/Bahía Playa de Oro;8.82;24.46;633.9;14.1;33;34.89
5/02/2024;11:51;Lago de Amatitlán/Oeste Centro;8.03;24.21;675.8;3.7;7;18.51
5/02/2024;12:29;Lago de Amatitlán/Río Michatoya ;7.91;23.2;678.9;2.36;5;12.64
5/02/2024;12:36;Lago de Amatitlán/Playa Pública;7.79;23.2;682.9;1.6;6;12.82
4/03/2024;09:48;Lago de Amatitlán/Este Centro;9.42;25.13;602.5;16.24;191;58.21
4/03/2024;10:55;Lago de Amatitlán/Bahía Playa de Oro;9.21;27.78;613.3;23.08;53;64.08
4/03/2024;12:04;Lago de Amatitlán/Oeste Centro;8.15;24.21;675.8;3.7;6;19.94
4/03/2024;12:29;Lago de Amatitlán/Río Michatoya ;7.91;23.2;678.9;2.36;137;35.07
4/03/2024;12:36;Lago de Amatitlán/Playa Pública;7.79;23.2;682.9;1.6;12;33.82
2/04/2024;09:45;Lago de Amatitlán/Este Centro;9.4;25.84;610.6;12.08;40;105.73
2/04/2024;10:53;Lago de Amatitlán/Bahía Playa de Oro;8.79;26.68;630;10.94;370;112.85
2/04/2024;12:20;Lago de Amatitlán/Oeste Centro;8.4;26.29;706.3;5.01;51;64.79
2/04/2024;12:49;Lago de Amatitlán/Río Michatoya ;7.83;27.48;710.8;5.01;40;100.75
2/04/2024;12:59;Lago de Amatitlán/Playa Pública;8.48;26.45;705.6;4.89;66;200.25
6/05/2024;09:45;Lago de Amatitlán/Este Centro;9.547;27.7;618;13.17;27;44.5
6/05/2024;10:44;Lago de Amatitlán/Bahía Playa de Oro;9.418;27.9;606;14.43;115;100.93
6/05/2024;11:53;Lago de Amatitlán/Oeste Centro;9.345;28.5;707;17.35;41;99.32
6/05/2024;12:40;Lago de Amatitlán/Río Michatoya ;9.523;28.9;703;18.34;368;1195
6/05/2024;12:55;Lago de Amatitlán/Playa Pública;9.498;29;704;18.95;254;312.92
3/06/2024;09:41;Lago de Amatitlán/Este Centro;9.284;27.4;627;7.17;19;30.62
3/06/2024;10:38;Lago de Amatitlán/Bahía Playa de Oro;8.769;27.7;633;7.06;115;74.05
3/06/2024;12:09;Lago de Amatitlán/Oeste Centro;9.371;28.7;721;18.35;55;182.98
3/06/2024;12:55;Lago de Amatitlán/Río Michatoya ;9.015;28.4;730;11.19;64;98.26
3/06/2024;13:11;Lago de Amatitlán/Playa Pública;9.059;27.9;731;11.88;33;71.91
4/07/2024;09:51;Lago de Amatitlán/Este Centro;9.271;25.4;602;8.82;25;38.8
4/07/2024;10:51;Lago de Amatitlán/Bahía Playa de Oro;8.163;25;629;1.14;41;73.34
4/07/2024;12:15;Lago de Amatitlán/Oeste Centro;8.107;25.2;668;2.85;16;29.19
4/07/2024;13:00;Lago de Amatitlán/Río Michatoya ;8.555;25.6;669;8.24;29;63.01
4/07/2024;13:10;Lago de Amatitlán/Playa Pública;8.58;25.1;670;8.01;30;68.71
6/08/2024;10:21;Lago de Amatitlán/Este Centro;9.429;25.8;585;11.9;20;34.53
6/08/2024;11:12;Lago de Amatitlán/Bahía Playa de Oro;8.901;26;616;9.17;33;59.33
6/08/2024;12:35;Lago de Amatitlán/Oeste Centro;8.692;25.8;624;8.14;21;76.89
6/08/2024;13:18;Lago de Amatitlán/Río Michatoya ;9.274;26.4;613;8.9;37;102.73
6/08/2024;13:25;Lago de Amatitlán/Playa Pública;9.541;27.7;608;17.97;40;109.88
2/09/2024;10:27;Lago de Amatitlán/Este Centro;9.688;27.1;572;15.02;30;41.47
2/09/2024;11:10;Lago de Amatitlán/Bahía Playa de Oro;9.063;28.5;614;15.26;27;40.58
2/09/2024;12:31;Lago de Amatitlán/Oeste Centro;9.301;29.3;617;16.1;42;118.88
2/09/2024;13:17;Lago de Amatitlán/Río Michatoya ;9.346;27.7;618;13.5;294;455.08
2/09/2024;13:27;Lago de Amatitlán/Playa Pública;9.336;27.7;622;13.89;95;136.76
1/10/2024;09:53;Lago de Amatitlán/Este Centro;9.4;25.4;566.8;8.19;11;37.02
1/10/2024;11:00;Lago de Amatitlán/Bahía Playa de Oro;8.64;26.57;607.7;11.73;44;108.23
1/10/2024;12:31;Lago de Amatitlán/Oeste Centro;9.301;29.3;617;16.1;14;40.46
1/10/2024;13:15;Lago de Amatitlán/Río Michatoya ;7.73;24.49;606.4;0;8;35.36
1/10/2024;13:27;Lago de Amatitlán/Playa Pública;7.99;25.44;603.8;3.65;9;14
5/11/2024;10:36;Lago de Amatitlán/Este Centro;8.61;26.14;604.2;5.24;32;40.11
5/11/2024;11:38;Lago de Amatitlán/Bahía Playa de Oro;8.72;28.16;612.8;18.89;26;85.78
5/11/2024;13:00;Lago de Amatitlán/Oeste Centro;8.49;26.53;588.9;10.58;14;59.93
5/11/2024;13:41;Lago de Amatitlán/Río Michatoya ;8.38;26.03;586.8;8.44;16;78.55
5/11/2024;13:47;Lago de Amatitlán/Playa Pública;8.4;26.64;587.8;12.52;17;85.56
2/12/2024;10:13;Lago de Amatitlán/Este Centro;7.88;23.31;611.8;1.66;11;18.39
2/12/2024;11:40;Lago de Amatitlán/Bahía Playa de Oro;8;22.92;626;3;11;12
2/12/2024;13:01;Lago de Amatitlán/Oeste Centro;7.37;21.44;415.9;0.17;9;20.17
2/12/2024;13:46;Lago de Amatitlán/Río Michatoya ;7.71;23.25;603.7;2.27;9;33.7
2/12/2024;13:59;Lago de Amatitlán/Playa Pública;7.7;23.27;606.2;2.07;8;34.53
7/01/2025;09:48;Lago de Amatitlán/Este Centro;8.19;22.6;610.6;6.95;8;32.04
7/01/2025;11:12;Lago de Amatitlán/Bahía Playa de Oro;8.34;22.95;620.3;7;16;31.57
7/01/2025;13:10;Lago de Amatitlán/Oeste Centro;7.62;22.36;632.7;1.59;8;17.45
7/01/2025;14:07;Lago de Amatitlán/Río Michatoya ;7.78;22.59;627.6;3.29;11;29.19
7/01/2025;14:12;Lago de Amatitlán/Playa Pública;7.77;22.56;628.6;2.67;10;28.95
4/02/2025;10:03;Lago de Amatitlán/Este Centro;8.32;22.3;608.6;7.27;11;14.71
4/02/2025;11:27;Lago de Amatitlán/Bahía Playa de Oro;8.47;22.91;622.3;6.87;23;41.88
4/02/2025;12:58;Lago de Amatitlán/Oeste Centro;7.87;22.54;647.9;4.06;16;45.21
4/02/2025;13:55;Lago de Amatitlán/Río Michatoya ;8.15;22.56;642.6;6.56;13;44.5
4/02/2025;14:02;Lago de Amatitlán/Playa Pública;8.37;23.24;642.6;9.39;15;49.36
6/03/2025;10:07;Lago de Amatitlán/Este Centro;9.21;23.78;603.6;11.84;24;18.39
6/03/2025;11:20;Lago de Amatitlán/Bahía Playa de Oro;8.73;25;621.3;8.64;31;26.1
6/03/2025;12:43;Lago de Amatitlán/Oeste Centro;9.13;24.38;672;12.19;21;48.53
